experiment,model,checkpoint,sha256,azure_job_id
exp2,yolo11l,inputs/checkpoints/exp2/yolo11l.pt,6008a9be70bc4cda228f8e739696848c8e2602fef06517d2eb236daffd855b52,sweet_cherry_g8s544hhjh
exp2,yolo11m,inputs/checkpoints/exp2/yolo11m.pt,639cc04fdfbed07000daf2f3dff70c550f7d33b38a6792ce960c8859edcd98a5,magenta_office_yzjj44qx1q
exp2,yolo11n,inputs/checkpoints/exp2/yolo11n.pt,0d383fb76d074e66bc70ab8848211af12fa1900a793b949f89fbf65877fc1e2c,stoic_beard_8hm2l17y2x
exp2,yolo11s,inputs/checkpoints/exp2/yolo11s.pt,a80f604b9036458a9f52e27cdad3405340b92b74fb22e866922362e86bb9ace5,hungry_jackal_vwxttn54yf
exp2,yolo11x,inputs/checkpoints/exp2/yolo11x.pt,f507399a33017d6e0f68c548ab845315c79e4dc1f801d1afd64b68e8692f8a9c,mango_stamp_trhk4j8jg0
exp2,yolo12l,inputs/checkpoints/exp2/yolo12l.pt,79e004e09c7870968496a4cbe02a10082201a2fc31179a854878a0d5a9adc82a,placid_guava_b0tj04z18r
exp2,yolo12m,inputs/checkpoints/exp2/yolo12m.pt,37e2b38403febbd312ed55f9752b71228fc0a7520bedcc98d701c7baa9524cc5,heroic_window_mcfyy15h6m
exp2,yolo12n,inputs/checkpoints/exp2/yolo12n.pt,f8c9dbfd50b0ac5adba2e3e6abeff5eaeb2c1106f539f39bb2e333087634113b,quirky_animal_sz60y31ws1
exp2,yolo12s,inputs/checkpoints/exp2/yolo12s.pt,50f7c70c03fb727f764a8f814ad0baa36879568f9c5ff3ac892732bd56c407d2,clever_farm_g6fcggrn7w
exp2,yolo12x,inputs/checkpoints/exp2/yolo12x.pt,bb8f5e442c1b8f81fdb2acf546d835ed869bb5fe3707c29cd8ca9505ac6005ae,sad_lettuce_7pcsk0x85r
exp2,yolo26l,inputs/checkpoints/exp2/yolo26l.pt,6a4dfd45753dcf48b692c300f87a2fbe99b48c435dd5e7fab695da227c9c253b,helpful_muscle_6h2c8hdw8p
exp2,yolo26m,inputs/checkpoints/exp2/yolo26m.pt,8c2ea50b77a72d6e9eee410a7a15171522bc9b51c1931ac0a53f0bc9260320e6,jovial_spinach_cm7bzbcq7x
exp2,yolo26n,inputs/checkpoints/exp2/yolo26n.pt,f2b1a576432f7773581ce29ca3567279ed37c3bc82b0b063c5c782feecd7297c,dreamy_cloud_0953h9kph2
exp2,yolo26n-p2,inputs/checkpoints/exp2/yolo26n-p2.pt,2a60b577c6a3fde8e03ecfeefb10c14aa9291268309f2bb8a4e42208706fedad,dynamic_rocket_r5ktpb1l3k
exp2,yolo26s,inputs/checkpoints/exp2/yolo26s.pt,0b4c67a07d116594fbf54d301049f8125fe68d1ed511853613e86d0102759dd1,sincere_angle_gb6k09pq37
exp2,yolo26s-p2,inputs/checkpoints/exp2/yolo26s-p2.pt,a9897da492e4502e10784788f117141965d5e29ac9fdc83a705ad4a580ea3a3a,icy_room_1165rvr4t2
exp2,yolo26x,inputs/checkpoints/exp2/yolo26x.pt,2a4f21f7eb326c580b006b422765d308e8e1f2569147d269d6cf0e67ed0a41c4,boring_boot_tvs4355fg3
exp2,yolov10b,inputs/checkpoints/exp2/yolov10b.pt,127e36c4ed6c6d2572e311ef49d21e1523210418056d4a4076124ff305234b25,khaki_rose_ns2f3mxhtg
exp2,yolov10l,inputs/checkpoints/exp2/yolov10l.pt,9c50d34d3bb5b41e66f80f91f6cbe58b6633cd5169d6daf958ef905ea1617c57,busy_pea_0ptgnh831y
exp2,yolov10m,inputs/checkpoints/exp2/yolov10m.pt,acf6af29f9b80484f93fb4205aa781f69a72df8ed0ed3af4064f27184697852f,sad_scooter_qf2jf48s1n
exp2,yolov10n,inputs/checkpoints/exp2/yolov10n.pt,b89baa76175353c0294615c849cc2511419d228b3f1cdea86c61525207bae434,bubbly_gas_kyz5zdzvfz
exp2,yolov10s,inputs/checkpoints/exp2/yolov10s.pt,f79edd6081354a878bd3c24e421be108ae6f68bea9b18e82b71d58136fc8f451,clever_chayote_4k3jqfhbw0
exp2,yolov10x,inputs/checkpoints/exp2/yolov10x.pt,c1c825ed8bcfcb0d7db1602a6e41384ca505c2fbe641b6a73b281228bbec3c25,sincere_spade_y606vvlqkf
exp2,yolov9c,inputs/checkpoints/exp2/yolov9c.pt,0f81cb665d70a889ecc0e2906522d2c82e368a8cdf9812cf7fe67a7056dc3ef3,shy_vase_wyk053x44y
exp2,yolov9e,inputs/checkpoints/exp2/yolov9e.pt,77cd1a5984ef9cbbc4893103e638c8b222011c2831e47bde68cc94ac659983bf,coral_pin_522gx9w4vt
exp2,yolov9m,inputs/checkpoints/exp2/yolov9m.pt,c7e3293d9b420499637a53f02f42640b91855f7d0391165c5277b1888a4fa06f,yellow_cloud_91q38pdw10
exp2,yolov9s,inputs/checkpoints/exp2/yolov9s.pt,02c5b52fb7983fe26c3fa261c9dad6b95ba4ff20573509215767e0eef7c52ebf,coral_drawer_5hmj5nnjz2
exp2,yolov9t,inputs/checkpoints/exp2/yolov9t.pt,9d46b02f2b22aa95f0df5beac87492e92b3cc5f6e1dc8d1f0ac5bb98fbf9e275,musing_sponge_bkt2vwk363
exp2.5,yolo11l,inputs/checkpoints/exp2.5/yolo11l.pt,a9ecc8d14ef72a10c56076794583853c19998cff7b6428aeabb0cd6c89bb9c35,zen_tiger_w9f87z8lst
exp2.5,yolo11m,inputs/checkpoints/exp2.5/yolo11m.pt,fd1cad01ac51d218ffc11aa7b8bab93e7b7e01679aea49286640c691de170bac,ashy_bee_d1tyb94lq4
exp2.5,yolo11n,inputs/checkpoints/exp2.5/yolo11n.pt,2544eb841f401d85dca8e2ac2b6f90b3b2defc2d66ed0f67a3c7a7308baa7a4d,bold_octopus_yyy8vbm9n9
exp2.5,yolo11s,inputs/checkpoints/exp2.5/yolo11s.pt,652e15fb74bb6b02b17cedeaf1cf0ba56dcf9849791640e58056cafcdfc9e6e8,wheat_caravan_s1f1mvl02f
exp2.5,yolo11x,inputs/checkpoints/exp2.5/yolo11x.pt,6942be12aecf7940b29e1b85e6bba0f4c5097b480ff18aacbcac6a49c703f3a4,joyful_cloud_x3y0l58574
exp2.5,yolo12l,inputs/checkpoints/exp2.5/yolo12l.pt,d6d6b1862859911804fc2aacce93a18553bc70b10c0d714007a0e7faf2db6b36,ashy_melon_q39spmrwyp
exp2.5,yolo12m,inputs/checkpoints/exp2.5/yolo12m.pt,f2dd3a63be8a75a74aea4b1a9c4f959a25664c891dee20dc2f5b7479dd2703f1,sad_lime_7jdh7fvbjj
exp2.5,yolo12n,inputs/checkpoints/exp2.5/yolo12n.pt,86b0dcb016dd379a359c894f36b7f6c49d45b0f9dd104e10d638249871dc2d24,coral_key_7jmwy2smdx
exp2.5,yolo12s,inputs/checkpoints/exp2.5/yolo12s.pt,26478dd1ce5c41143fd48a55c2f0f5e56e3aa72d209fb344302e27f80545b299,elated_fox_cs02dvrfgs
exp2.5,yolo12x,inputs/checkpoints/exp2.5/yolo12x.pt,8ffda5c0faabb21a4ec6b78941dc53dbeb8a930e84cd7a3b8fa50b1ece948308,kind_chin_83x9r9p6z8
exp2.5,yolo26l,inputs/checkpoints/exp2.5/yolo26l.pt,dd8a6f09a8a5681d71158d0e5f04bb0ed271531f6eb57cec2ab35b79fbbc14dc,witty_ear_f62ymstk30
exp2.5,yolo26m,inputs/checkpoints/exp2.5/yolo26m.pt,58838ecc79273b2b7990feb4edb80903de8e4c104189147f809760459c2631f9,witty_bag_41j3tqlzrl
exp2.5,yolo26n,inputs/checkpoints/exp2.5/yolo26n.pt,04d8b4e7d6f15bbc1aaf9405bad30c463c6fcf790ea64c8703e5cc9b67c4d6fd,sincere_fig_rpppf38r6d
exp2.5,yolo26n-p2,inputs/checkpoints/exp2.5/yolo26n-p2.pt,15141954f09a9c9b8c98f19489508779ff6e67c04ce12d0bb5852669d03afe44,frosty_celery_4ddypd1hwd
exp2.5,yolo26s,inputs/checkpoints/exp2.5/yolo26s.pt,b7cb32d77d4f8e8afe781514fb61392276587df3e312777bbabbb6a09fccae4c,nifty_stone_8kb99kshhz
exp2.5,yolo26s-p2,inputs/checkpoints/exp2.5/yolo26s-p2.pt,c8e51985a212ed2f2bbefb0f40af4b7a3fe8f30593e7db7ff94fdd9f7dfe580d,serene_toe_f059fyr6jb
exp2.5,yolo26x,inputs/checkpoints/exp2.5/yolo26x.pt,1dd28ab51b051d2b698c658139afbbf95c9deccdcacbcb5bb303f3fa007a725a,busy_pig_jyqj50901p
exp2.5,yolov10b,inputs/checkpoints/exp2.5/yolov10b.pt,7070ec0097b26965b7c315effc551a6b092b9e8cd0faeb4b305adfc221a240bb,jolly_ice_g0gfstst1b
exp2.5,yolov10l,inputs/checkpoints/exp2.5/yolov10l.pt,4553e012e8c8a617d1642388f64b5cd25465524091c59055fe1367b03c8b4d7a,good_pocket_stglz56xby
exp2.5,yolov10m,inputs/checkpoints/exp2.5/yolov10m.pt,1408cddfe1fa282613ffefc4170d9dfec5fce7219a4522e59a48a4e7b7b78a6c,plucky_chicken_2rkr151mwy
exp2.5,yolov10n,inputs/checkpoints/exp2.5/yolov10n.pt,ddf7a4051c85ad448b120f387bc673b7110786447d17adfc5bbc22f6190b77c3,coral_parang_075x55nbmv
exp2.5,yolov10s,inputs/checkpoints/exp2.5/yolov10s.pt,fe179e5e3fad244be5273d35e53e9648b63244c60b07b3cf4f0326bb8fbb2550,cool_carpet_v96lbkhy1s
exp2.5,yolov10x,inputs/checkpoints/exp2.5/yolov10x.pt,a85a3eb50b357ff18b202a04201602d6490e2c887f335e784f6aa541c54abb83,plum_wheel_9zk7c7w17y
exp2.5,yolov9c,inputs/checkpoints/exp2.5/yolov9c.pt,a64bb3f30cea659e05a5d8ea8f3cbacffb93f2c5f18028717732fae0baf51ef6,shy_dinner_ss093dclmn
