experiment,model,map50,map50_95,gt_coverage_percent,gt_detected,gt_total,gt_missed,extra_predictions,discarded_duplicates,elapsed_seconds,checkpoint_sha256
exp2,yolo11l,0.6805235510414147,0.3365459001654622,76.86318131256952,2764,3596,832,1859,212,36.186830785125494,6008a9be70bc4cda228f8e739696848c8e2602fef06517d2eb236daffd855b52
exp2,yolo11m,0.7132757040297844,0.3712038122341902,74.2769744160178,2671,3596,925,1391,247,27.858187532052398,639cc04fdfbed07000daf2f3dff70c550f7d33b38a6792ce960c8859edcd98a5
exp2,yolo11n,0.6973871059958303,0.3485000232493828,76.86318131256952,2764,3596,832,1825,259,11.577265803702176,0d383fb76d074e66bc70ab8848211af12fa1900a793b949f89fbf65877fc1e2c
exp2,yolo11s,0.6916093529695035,0.34284327093614386,72.69187986651835,2614,3596,982,1527,191,15.698109646327794,a80f604b9036458a9f52e27cdad3405340b92b74fb22e866922362e86bb9ace5
exp2,yolo11x,0.6640954465074917,0.33399500901925416,73.72080088987764,2651,3596,945,1756,229,60.86680343095213,f507399a33017d6e0f68c548ab845315c79e4dc1f801d1afd64b68e8692f8a9c
exp2,yolo12l,0.6320357896240533,0.3062294954669017,62.37486095661846,2243,3596,1353,1211,313,48.132862591184676,79e004e09c7870968496a4cbe02a10082201a2fc31179a854878a0d5a9adc82a
exp2,yolo12m,0.6580024640242217,0.32613551274734276,71.19021134593993,2560,3596,1036,1551,200,34.510126813314855,37e2b38403febbd312ed55f9752b71228fc0a7520bedcc98d701c7baa9524cc5
exp2,yolo12n,0.6917803095477852,0.33531154677573644,76.25139043381535,2742,3596,854,1817,298,14.12417575251311,f8c9dbfd50b0ac5adba2e3e6abeff5eaeb2c1106f539f39bb2e333087634113b
exp2,yolo12s,0.6724063121551163,0.3308991265203606,75.47274749721913,2714,3596,882,2013,261,20.00135398004204,50f7c70c03fb727f764a8f814ad0baa36879568f9c5ff3ac892732bd56c407d2
exp2,yolo12x,0.617337997167932,0.3021217813425071,58.89877641824249,2118,3596,1478,1089,255,80.98414621315897,bb8f5e442c1b8f81fdb2acf546d835ed869bb5fe3707c29cd8ca9505ac6005ae
exp2,yolo26l,0.739664032103232,0.3760568649713937,79.86651835372636,2872,3596,724,1613,146,34.519062019884586,6a4dfd45753dcf48b692c300f87a2fbe99b48c435dd5e7fab695da227c9c253b
exp2,yolo26m,0.7354231596820336,0.35813751236928215,73.10901001112347,2629,3596,967,1093,114,28.124878760427237,8c2ea50b77a72d6e9eee410a7a15171522bc9b51c1931ac0a53f0bc9260320e6
exp2,yolo26n,0.7454890653296459,0.37349188301968944,78.00333704115684,2805,3596,791,1556,125,11.5465866336599,f2b1a576432f7773581ce29ca3567279ed37c3bc82b0b063c5c782feecd7297c
exp2,yolo26n-p2,0.6368899471387943,0.319166715225857,63.459399332591765,2282,3596,1314,1143,335,13.644712373614311,2a60b577c6a3fde8e03ecfeefb10c14aa9291268309f2bb8a4e42208706fedad
exp2,yolo26s,0.7438294913472085,0.34427122519381426,82.17463848720801,2955,3596,641,1978,198,16.21859667915851,0b4c67a07d116594fbf54d301049f8125fe68d1ed511853613e86d0102759dd1
exp2,yolo26s-p2,0.6150288623104772,0.30039938579193215,64.57174638487209,2322,3596,1274,1423,317,20.274610001593828,a9897da492e4502e10784788f117141965d5e29ac9fdc83a705ad4a580ea3a3a
exp2,yolo26x,0.6648214227234976,0.3398493537888313,68.35372636262514,2458,3596,1138,1152,272,60.496856700628996,2a4f21f7eb326c580b006b422765d308e8e1f2569147d269d6cf0e67ed0a41c4
exp2,yolov10b,0.669513683048814,0.3266894819469918,70.52280311457174,2536,3596,1060,1376,288,32.9565315367654,127e36c4ed6c6d2572e311ef49d21e1523210418056d4a4076124ff305234b25
exp2,yolov10l,0.6875397839419832,0.3412097887476634,68.35372636262514,2458,3596,1138,1152,170,39.93343200907111,9c50d34d3bb5b41e66f80f91f6cbe58b6633cd5169d6daf958ef905ea1617c57
